Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2753862,-,-,-,42.32,-72.91,-5,271,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,GHI,DNI
2020,1,1,22,30,0,0
2020,1,1,22,45,0,0
2020,1,1,23,0,0,0
2020,1,1,23,15,0,0
2020,1,1,23,30,0,0
2020,1,1,23,45,0,0
2020,1,2,0,0,0,0
2020,1,2,0,15,0,0
2020,1,2,0,30,0,0
2020,1,2,0,45,0,0
2020,1,2,1,0,0,0
2020,1,2,1,15,0,0
2020,1,2,1,30,0,0
2020,1,2,1,45,0,0
2020,1,2,2,0,0,0
2020,1,2,2,15,0,0
2020,1,2,2,30,0,0
2020,1,2,2,45,0,0
2020,1,2,3,0,0,0
2020,1,2,3,15,0,0
2020,1,2,3,30,0,0
2020,1,2,3,45,0,0
2020,1,2,4,0,0,0
2020,1,2,4,15,0,0
2020,1,2,4,30,0,0
2020,1,2,4,45,0,0
2020,1,2,5,0,0,0
2020,1,2,5,15,0,0
2020,1,2,5,30,0,0
2020,1,2,5,45,0,0
2020,1,2,6,0,0,0
2020,1,2,6,15,0,0
2020,1,2,6,30,0,0
2020,1,2,6,45,0,0
2020,1,2,7,0,0,0
2020,1,2,7,15,0,0
2020,1,2,7,30,6,0
2020,1,2,7,45,18,0
2020,1,2,8,0,39,67
2020,1,2,8,15,68,175
2020,1,2,8,30,96,238
2020,1,2,8,45,73,10
2020,1,2,9,0,104,64
2020,1,2,9,15,238,748
2020,1,2,9,30,269,776
2020,1,2,9,45,201,258
2020,1,2,10,0,158,64
2020,1,2,10,15,265,399
2020,1,2,10,30,303,519
2020,1,2,10,45,338,636
2020,1,2,11,0,347,620
2020,1,2,11,15,344,550
2020,1,2,11,30,359,599
2020,1,2,11,45,355,560
2020,1,2,12,0,406,819
2020,1,2,12,15,372,670
2020,1,2,12,30,435,884
2020,1,2,12,45,424,877
2020,1,2,13,0,409,865
2020,1,2,13,15,392,855
2020,1,2,13,30,371,843
2020,1,2,13,45,348,826
2020,1,2,14,0,322,807
2020,1,2,14,15,293,786
2020,1,2,14,30,261,759
2020,1,2,14,45,228,725
2020,1,2,15,0,154,447
2020,1,2,15,15,119,353
2020,1,2,15,30,67,101
2020,1,2,15,45,52,131
2020,1,2,16,0,27,30
2020,1,2,16,15,14,0
2020,1,2,16,30,0,0
2020,1,2,16,45,0,0
2020,1,2,17,0,0,0
2020,1,2,17,15,0,0
2020,1,2,17,30,0,0
2020,1,2,17,45,0,0
2020,1,2,18,0,0,0
2020,1,2,18,15,0,0
2020,1,2,18,30,0,0
2020,1,2,18,45,0,0
2020,1,2,19,0,0,0
2020,1,2,19,15,0,0
2020,1,2,19,30,0,0
2020,1,2,19,45,0,0
2020,1,2,20,0,0,0
2020,1,2,20,15,0,0
2020,1,2,20,30,0,0
2020,1,2,20,45,0,0
2020,1,2,21,0,0,0
2020,1,2,21,15,0,0
2020,1,2,21,30,0,0
2020,1,2,21,45,0,0
2020,1,2,22,0,0,0
2020,1,2,22,15,0,0
2020,1,2,22,30,0,0
2020,1,2,22,45,0,0
2020,1,2,23,0,0,0
2020,1,2,23,15,0,0
2020,1,2,23,30,0,0
2020,1,2,23,45,0,0
2020,1,3,0,0,0,0
2020,1,3,0,15,0,0
2020,1,3,0,30,0,0
2020,1,3,0,45,0,0
2020,1,3,1,0,0,0
2020,1,3,1,15,0,0
2020,1,3,1,30,0,0
2020,1,3,1,45,0,0
2020,1,3,2,0,0,0
2020,1,3,2,15,0,0
2020,1,3,2,30,0,0
2020,1,3,2,45,0,0
2020,1,3,3,0,0,0
2020,1,3,3,15,0,0
2020,1,3,3,30,0,0
2020,1,3,3,45,0,0
2020,1,3,4,0,0,0
2020,1,3,4,15,0,0
2020,1,3,4,30,0,0
2020,1,3,4,45,0,0
2020,1,3,5,0,0,0
2020,1,3,5,15,0,0
2020,1,3,5,30,0,0
2020,1,3,5,45,0,0
2020,1,3,6,0,0,0
2020,1,3,6,15,0,0
2020,1,3,6,30,0,0
2020,1,3,6,45,0,0
2020,1,3,7,0,0,0
2020,1,3,7,15,0,0
2020,1,3,7,30,3,0
2020,1,3,7,45,13,0
2020,1,3,8,0,24,0
2020,1,3,8,15,23,0
2020,1,3,8,30,77,96
2020,1,3,8,45,66,0
2020,1,3,9,0,90,22
2020,1,3,9,15,182,369
2020,1,3,9,30,153,126
2020,1,3,9,45,146,63
2020,1,3,10,0,89,0
2020,1,3,10,15,218,198
2020,1,3,10,30,221,168
2020,1,3,10,45,274,315
2020,1,3,11,0,332,527
2020,1,3,11,15,240,152
2020,1,3,11,30,218,93
2020,1,3,11,45,209,73
2020,1,3,12,0,248,152
2020,1,3,12,15,294,297
2020,1,3,12,30,219,99
2020,1,3,12,45,238,153
2020,1,3,13,0,272,287
2020,1,3,13,15,219,147
2020,1,3,13,30,188,94
2020,1,3,13,45,141,25
2020,1,3,14,0,92,0
2020,1,3,14,15,79,0
2020,1,3,14,30,88,0
2020,1,3,14,45,79,0
2020,1,3,15,0,63,0
2020,1,3,15,15,52,0
2020,1,3,15,30,38,0
2020,1,3,15,45,24,0
2020,1,3,16,0,16,0
2020,1,3,16,15,8,0
2020,1,3,16,30,0,0
2020,1,3,16,45,0,0
2020,1,3,17,0,0,0
2020,1,3,17,15,0,0
2020,1,3,17,30,0,0
2020,1,3,17,45,0,0
2020,1,3,18,0,0,0
2020,1,3,18,15,0,0
2020,1,3,18,30,0,0
2020,1,3,18,45,0,0
2020,1,3,19,0,0,0
2020,1,3,19,15,0,0
2020,1,3,19,30,0,0
2020,1,3,19,45,0,0
2020,1,3,20,0,0,0
2020,1,3,20,15,0,0
2020,1,3,20,30,0,0
2020,1,3,20,45,0,0
2020,1,3,21,0,0,0
2020,1,3,21,15,0,0
2020,1,3,21,30,0,0
2020,1,3,21,45,0,0
2020,1,3,22,0,0,0
2020,1,3,22,15,0,0
2020,1,3,22,30,0,0
2020,1,3,22,45,0,0
2020,1,3,23,0,0,0
2020,1,3,23,15,0,0
2020,1,3,23,30,0,0
2020,1,3,23,45,0,0
2020,1,4,0,0,0,0
2020,1,4,0,15,0,0
2020,1,4,0,30,0,0
2020,1,4,0,45,0,0
2020,1,4,1,0,0,0
2020,1,4,1,15,0,0
2020,1,4,1,30,0,0
2020,1,4,1,45,0,0
2020,1,4,2,0,0,0
2020,1,4,2,15,0,0
2020,1,4,2,30,0,0
2020,1,4,2,45,0,0
2020,1,4,3,0,0,0
2020,1,4,3,15,0,0
2020,1,4,3,30,0,0
2020,1,4,3,45,0,0
2020,1,4,4,0,0,0
2020,1,4,4,15,0,0
2020,1,4,4,30,0,0
2020,1,4,4,45,0,0
2020,1,4,5,0,0,0
2020,1,4,5,15,0,0
2020,1,4,5,30,0,0
2020,1,4,5,45,0,0
2020,1,4,6,0,0,0
2020,1,4,6,15,0,0
2020,1,4,6,30,0,0
2020,1,4,6,45,0,0
2020,1,4,7,0,0,0
2020,1,4,7,15,0,0
2020,1,4,7,30,3,0
2020,1,4,7,45,14,0
2020,1,4,8,0,22,0
2020,1,4,8,15,36,0
2020,1,4,8,30,20,0
2020,1,4,8,45,51,0
2020,1,4,9,0,68,0
2020,1,4,9,15,113,46
2020,1,4,9,30,95,0
2020,1,4,9,45,72,0
2020,1,4,10,0,138,26
2020,1,4,10,15,130,7
2020,1,4,10,30,175,57
2020,1,4,10,45,83,0
2020,1,4,11,0,178,41
2020,1,4,11,15,65,0
2020,1,4,11,30,12,0
2020,1,4,11,45,76,0
2020,1,4,12,0,13,0
2020,1,4,12,15,13,0
2020,1,4,12,30,12,0
2020,1,4,12,45,98,0
2020,1,4,13,0,12,0
2020,1,4,13,15,117,0
2020,1,4,13,30,12,0
2020,1,4,13,45,11,0
2020,1,4,14,0,53,0
2020,1,4,14,15,60,0
2020,1,4,14,30,43,0
2020,1,4,14,45,50,0
2020,1,4,15,0,42,0
2020,1,4,15,15,58,0
2020,1,4,15,30,40,0
2020,1,4,15,45,31,0
2020,1,4,16,0,23,0
2020,1,4,16,15,10,0
2020,1,4,16,30,0,0
2020,1,4,16,45,0,0
2020,1,4,17,0,0,0
2020,1,4,17,15,0,0
2020,1,4,17,30,0,0
2020,1,4,17,45,0,0
2020,1,4,18,0,0,0
2020,1,4,18,15,0,0
2020,1,4,18,30,0,0
2020,1,4,18,45,0,0
2020,1,4,19,0,0,0
2020,1,4,19,15,0,0
2020,1,4,19,30,0,0
2020,1,4,19,45,0,0
2020,1,4,20,0,0,0
2020,1,4,20,15,0,0
2020,1,4,20,30,0,0
2020,1,4,20,45,0,0
2020,1,4,21,0,0,0
2020,1,4,21,15,0,0
2020,1,4,21,30,0,0
2020,1,4,21,45,0,0
2020,1,4,22,0,0,0
2020,1,4,22,15,0,0
2020,1,4,22,30,0,0
2020,1,4,22,45,0,0
2020,1,4,23,0,0,0
2020,1,4,23,15,0,0
2020,1,4,23,30,0,0
2020,1,4,23,45,0,0
2020,1,5,0,0,0,0
2020,1,5,0,15,0,0
2020,1,5,0,30,0,0
2020,1,5,0,45,0,0
2020,1,5,1,0,0,0
2020,1,5,1,15,0,0
2020,1,5,1,30,0,0
2020,1,5,1,45,0,0
2020,1,5,2,0,0,0
2020,1,5,2,15,0,0
2020,1,5,2,30,0,0
2020,1,5,2,45,0,0
2020,1,5,3,0,0,0
2020,1,5,3,15,0,0
2020,1,5,3,30,0,0
2020,1,5,3,45,0,0
2020,1,5,4,0,0,0
2020,1,5,4,15,0,0
2020,1,5,4,30,0,0
2020,1,5,4,45,0,0
2020,1,5,5,0,0,0
2020,1,5,5,15,0,0
2020,1,5,5,30,0,0
2020,1,5,5,45,0,0
2020,1,5,6,0,0,0
2020,1,5,6,15,0,0
2020,1,5,6,30,0,0
2020,1,5,6,45,0,0
2020,1,5,7,0,0,0
2020,1,5,7,15,0,0
2020,1,5,7,30,15,217
2020,1,5,7,45,18,0
2020,1,5,8,0,30,0
2020,1,5,8,15,30,0
2020,1,5,8,30,44,0
2020,1,5,8,45,67,0
2020,1,5,9,0,76,0
2020,1,5,9,15,94,4
2020,1,5,9,30,41,0
2020,1,5,9,45,20,0
2020,1,5,10,0,38,0
2020,1,5,10,15,138,15
2020,1,5,10,30,206,121
2020,1,5,10,45,148,13
2020,1,5,11,0,109,0
2020,1,5,11,15,160,16
2020,1,5,11,30,106,0
2020,1,5,11,45,145,2
2020,1,5,12,0,165,16
2020,1,5,12,15,258,177
2020,1,5,12,30,204,68
2020,1,5,12,45,214,93
2020,1,5,13,0,236,161
2020,1,5,13,15,280,354
2020,1,5,13,30,307,556
2020,1,5,13,45,292,568
2020,1,5,14,0,340,861
2020,1,5,14,15,310,841
2020,1,5,14,30,279,816
2020,1,5,14,45,245,788
2020,1,5,15,0,209,752
2020,1,5,15,15,172,707
2020,1,5,15,30,134,650
2020,1,5,15,45,96,574
2020,1,5,16,0,61,478
2020,1,5,16,15,30,350
2020,1,5,16,30,0,0
2020,1,5,16,45,0,0
2020,1,5,17,0,0,0
2020,1,5,17,15,0,0
2020,1,5,17,30,0,0
2020,1,5,17,45,0,0
2020,1,5,18,0,0,0
2020,1,5,18,15,0,0
2020,1,5,18,30,0,0
2020,1,5,18,45,0,0
2020,1,5,19,0,0,0
2020,1,5,19,15,0,0
2020,1,5,19,30,0,0
2020,1,5,19,45,0,0
2020,1,5,20,0,0,0
2020,1,5,20,15,0,0
2020,1,5,20,30,0,0
2020,1,5,20,45,0,0
2020,1,5,21,0,0,0
2020,1,5,21,15,0,0
2020,1,5,21,30,0,0
2020,1,5,21,45,0,0
2020,1,5,22,0,0,0
2020,1,5,22,15,0,0
2020,1,5,22,30,0,0
2020,1,5,22,45,0,0
2020,1,5,23,0,0,0
2020,1,5,23,15,0,0
2020,1,5,23,30,0,0
2020,1,5,23,45,0,0
2020,1,6,0,0,0,0
2020,1,6,0,15,0,0
2020,1,6,0,30,0,0
2020,1,6,0,45,0,0
2020,1,6,1,0,0,0
2020,1,6,1,15,0,0
2020,1,6,1,30,0,0
2020,1,6,1,45,0,0
2020,1,6,2,0,0,0
2020,1,6,2,15,0,0
2020,1,6,2,30,0,0
2020,1,6,2,45,0,0
2020,1,6,3,0,0,0
2020,1,6,3,15,0,0
2020,1,6,3,30,0,0
2020,1,6,3,45,0,0
2020,1,6,4,0,0,0
2020,1,6,4,15,0,0
2020,1,6,4,30,0,0
2020,1,6,4,45,0,0
2020,1,6,5,0,0,0
2020,1,6,5,15,0,0
2020,1,6,5,30,0,0
2020,1,6,5,45,0,0
2020,1,6,6,0,0,0
2020,1,6,6,15,0,0
2020,1,6,6,30,0,0
2020,1,6,6,45,0,0
2020,1,6,7,0,0,0
2020,1,6,7,15,0,0
2020,1,6,7,30,4,0
2020,1,6,7,45,14,0
2020,1,6,8,0,23,0
2020,1,6,8,15,39,0
2020,1,6,8,30,62,15
2020,1,6,8,45,68,0
2020,1,6,9,0,82,1
2020,1,6,9,15,115,49
2020,1,6,9,30,139,76
2020,1,6,9,45,158,91
2020,1,6,10,0,185,130
2020,1,6,10,15,210,166
2020,1,6,10,30,209,129
2020,1,6,10,45,242,193
2020,1,6,11,0,210,91
2020,1,6,11,15,232,124
2020,1,6,11,30,238,128
2020,1,6,11,45,224,94
2020,1,6,12,0,280,231
2020,1,6,12,15,189,41
2020,1,6,12,30,192,48
2020,1,6,12,45,108,0
2020,1,6,13,0,59,0
2020,1,6,13,15,189,70
2020,1,6,13,30,242,246
2020,1,6,13,45,297,589
2020,1,6,14,0,278,591
2020,1,6,14,15,240,490
2020,1,6,14,30,196,356
2020,1,6,14,45,162,284
2020,1,6,15,0,93,42
2020,1,6,15,15,110,227
2020,1,6,15,30,133,577
2020,1,6,15,45,98,540
2020,1,6,16,0,62,442
2020,1,6,16,15,15,0
2020,1,6,16,30,0,0
2020,1,6,16,45,0,0
2020,1,6,17,0,0,0
2020,1,6,17,15,0,0
2020,1,6,17,30,0,0
2020,1,6,17,45,0,0
2020,1,6,18,0,0,0
2020,1,6,18,15,0,0
2020,1,6,18,30,0,0
2020,1,6,18,45,0,0
2020,1,6,19,0,0,0
2020,1,6,19,15,0,0
2020,1,6,19,30,0,0
2020,1,6,19,45,0,0
2020,1,6,20,0,0,0
2020,1,6,20,15,0,0
2020,1,6,20,30,0,0
2020,1,6,20,45,0,0
2020,1,6,21,0,0,0
2020,1,6,21,15,0,0
2020,1,6,21,30,0,0
2020,1,6,21,45,0,0
2020,1,6,22,0,0,0
2020,1,6,22,15,0,0
2020,1,6,22,30,0,0
2020,1,6,22,45,0,0
2020,1,6,23,0,0,0
2020,1,6,23,15,0,0
2020,1,6,23,30,0,0
2020,1,6,23,45,0,0
2020,1,7,0,0,0,0
2020,1,7,0,15,0,0
2020,1,7,0,30,0,0
2020,1,7,0,45,0,0
2020,1,7,1,0,0,0
2020,1,7,1,15,0,0
2020,1,7,1,30,0,0
2020,1,7,1,45,0,0
2020,1,7,2,0,0,0
2020,1,7,2,15,0,0
2020,1,7,2,30,0,0
2020,1,7,2,45,0,0
2020,1,7,3,0,0,0
2020,1,7,3,15,0,0
2020,1,7,3,30,0,0
2020,1,7,3,45,0,0
2020,1,7,4,0,0,0
2020,1,7,4,15,0,0
2020,1,7,4,30,0,0
2020,1,7,4,45,0,0
2020,1,7,5,0,0,0
2020,1,7,5,15,0,0
2020,1,7,5,30,0,0
2020,1,7,5,45,0,0
2020,1,7,6,0,0,0
2020,1,7,6,15,0,0
2020,1,7,6,30,0,0
2020,1,7,6,45,0,0
2020,1,7,7,0,0,0
2020,1,7,7,15,0,0
2020,1,7,7,30,16,227
2020,1,7,7,45,42,384
2020,1,7,8,0,76,503
2020,1,7,8,15,113,593
2020,1,7,8,30,152,661
2020,1,7,8,45,190,707
2020,1,7,9,0,227,751
2020,1,7,9,15,263,786
2020,1,7,9,30,296,814
2020,1,7,9,45,318,825
2020,1,7,10,0,310,740
2020,1,7,10,15,382,876
2020,1,7,10,30,289,422
2020,1,7,10,45,341,615
2020,1,7,11,0,327,482
2020,1,7,11,15,341,502
2020,1,7,11,30,339,467
2020,1,7,11,45,370,602
2020,1,7,12,0,376,627
2020,1,7,12,15,373,620
2020,1,7,12,30,300,312
2020,1,7,12,45,233,129
2020,1,7,13,0,319,459
2020,1,7,13,15,272,307
2020,1,7,13,30,279,394
2020,1,7,13,45,221,212
2020,1,7,14,0,207,219
2020,1,7,14,15,153,85
2020,1,7,14,30,126,52
2020,1,7,14,45,100,21
2020,1,7,15,0,96,48
2020,1,7,15,15,74,22
2020,1,7,15,30,53,0
2020,1,7,15,45,35,0
2020,1,7,16,0,25,0
2020,1,7,16,15,15,0
2020,1,7,16,30,0,0
2020,1,7,16,45,0,0
2020,1,7,17,0,0,0
2020,1,7,17,15,0,0
2020,1,7,17,30,0,0
2020,1,7,17,45,0,0
2020,1,7,18,0,0,0
2020,1,7,18,15,0,0
2020,1,7,18,30,0,0
2020,1,7,18,45,0,0
2020,1,7,19,0,0,0
2020,1,7,19,15,0,0
2020,1,7,19,30,0,0
2020,1,7,19,45,0,0
2020,1,7,20,0,0,0
2020,1,7,20,15,0,0
2020,1,7,20,30,0,0
2020,1,7,20,45,0,0
2020,1,7,21,0,0,0
2020,1,7,21,15,0,0
2020,1,7,21,30,0,0
2020,1,7,21,45,0,0
2020,1,7,22,0,0,0
2020,1,7,22,15,0,0
2020,1,7,22,30,0,0
2020,1,7,22,45,0,0
2020,1,7,23,0,0,0
2020,1,7,23,15,0,0
2020,1,7,23,30,0,0
2020,1,7,23,45,0,0
2020,1,8,0,0,0,0
2020,1,8,0,15,0,0
2020,1,8,0,30,0,0
2020,1,8,0,45,0,0
2020,1,8,1,0,0,0
2020,1,8,1,15,0,0
2020,1,8,1,30,0,0
2020,1,8,1,45,0,0
2020,1,8,2,0,0,0
2020,1,8,2,15,0,0
2020,1,8,2,30,0,0
2020,1,8,2,45,0,0
2020,1,8,3,0,0,0
2020,1,8,3,15,0,0
2020,1,8,3,30,0,0
2020,1,8,3,45,0,0
2020,1,8,4,0,0,0
2020,1,8,4,15,0,0
2020,1,8,4,30,0,0
2020,1,8,4,45,0,0
2020,1,8,5,0,0,0
2020,1,8,5,15,0,0
2020,1,8,5,30,0,0
2020,1,8,5,45,0,0
2020,1,8,6,0,0,0
2020,1,8,6,15,0,0
2020,1,8,6,30,0,0
2020,1,8,6,45,0,0
2020,1,8,7,0,0,0
2020,1,8,7,15,0,0
2020,1,8,7,30,6,0
2020,1,8,7,45,25,74
2020,1,8,8,0,70,384
2020,1,8,8,15,70,184
2020,1,8,8,30,142,550
2020,1,8,8,45,180,614
2020,1,8,9,0,217,661
2020,1,8,9,15,252,699
2020,1,8,9,30,285,731
2020,1,8,9,45,317,768
2020,1,8,10,0,346,789
2020,1,8,10,15,371,807
2020,1,8,10,30,394,821
2020,1,8,10,45,412,817
2020,1,8,11,0,428,826
2020,1,8,11,15,335,467
2020,1,8,11,30,449,838
2020,1,8,11,45,359,530
2020,1,8,12,0,348,474
2020,1,8,12,15,253,152
2020,1,8,12,30,319,377
2020,1,8,12,45,349,544
2020,1,8,13,0,359,657
2020,1,8,13,15,324,531
2020,1,8,13,30,306,516
2020,1,8,13,45,365,788
2020,1,8,14,0,338,769
2020,1,8,14,15,312,754
2020,1,8,14,30,280,726
2020,1,8,14,45,251,743
2020,1,8,15,0,215,705
2020,1,8,15,15,177,658
2020,1,8,15,30,108,376
2020,1,8,15,45,52,60
2020,1,8,16,0,67,457
2020,1,8,16,15,35,328
2020,1,8,16,30,0,0
2020,1,8,16,45,0,0
2020,1,8,17,0,0,0
2020,1,8,17,15,0,0
2020,1,8,17,30,0,0
2020,1,8,17,45,0,0
2020,1,8,18,0,0,0
2020,1,8,18,15,0,0
2020,1,8,18,30,0,0
2020,1,8,18,45,0,0
2020,1,8,19,0,0,0
2020,1,8,19,15,0,0
2020,1,8,19,30,0,0
2020,1,8,19,45,0,0
2020,1,8,20,0,0,0
2020,1,8,20,15,0,0
2020,1,8,20,30,0,0
2020,1,8,20,45,0,0
2020,1,8,21,0,0,0
2020,1,8,21,15,0,0
2020,1,8,21,30,0,0
2020,1,8,21,45,0,0
2020,1,8,22,0,0,0
2020,1,8,22,15,0,0
2020,1,8,22,30,0,0
2020,1,8,22,45,0,0
2020,1,8,23,0,0,0
2020,1,8,23,15,0,0
2020,1,8,23,30,0,0
2020,1,8,23,45,0,0
2020,1,9,0,0,0,0
2020,1,9,0,15,0,0
2020,1,9,0,30,0,0
2020,1,9,0,45,0,0
2020,1,9,1,0,0,0
2020,1,9,1,15,0,0
2020,1,9,1,30,0,0
2020,1,9,1,45,0,0
2020,1,9,2,0,0,0
2020,1,9,2,15,0,0
2020,1,9,2,30,0,0
2020,1,9,2,45,0,0
2020,1,9,3,0,0,0
2020,1,9,3,15,0,0
2020,1,9,3,30,0,0
2020,1,9,3,45,0,0
2020,1,9,4,0,0,0
2020,1,9,4,15,0,0
2020,1,9,4,30,0,0
2020,1,9,4,45,0,0
2020,1,9,5,0,0,0
2020,1,9,5,15,0,0
2020,1,9,5,30,0,0
2020,1,9,5,45,0,0
2020,1,9,6,0,0,0
2020,1,9,6,15,0,0
2020,1,9,6,30,0,0
2020,1,9,6,45,0,0
2020,1,9,7,0,0,0
2020,1,9,7,15,0,0
2020,1,9,7,30,7,0
2020,1,9,7,45,29,125
2020,1,9,8,0,58,275
2020,1,9,8,15,87,356
2020,1,9,8,30,122,449
2020,1,9,8,45,196,760
2020,1,9,9,0,233,799
2020,1,9,9,15,269,832
2020,1,9,9,30,304,858
2020,1,9,9,45,337,868
2020,1,9,10,0,366,887
2020,1,9,10,15,392,902
2020,1,9,10,30,415,914
2020,1,9,10,45,430,909
2020,1,9,11,0,446,917
2020,1,9,11,15,459,923
2020,1,9,11,30,468,927
2020,1,9,11,45,473,918
2020,1,9,12,0,475,919
2020,1,9,12,15,473,918
2020,1,9,12,30,467,915
2020,1,9,12,45,453,900
2020,1,9,13,0,440,894
2020,1,9,13,15,423,886
2020,1,9,13,30,403,875
2020,1,9,13,45,311,634
2020,1,9,14,0,297,667
2020,1,9,14,15,259,575
2020,1,9,14,30,247,652
2020,1,9,14,45,258,775
2020,1,9,15,0,222,739
2020,1,9,15,15,184,695
2020,1,9,15,30,146,639
2020,1,9,15,45,106,537
2020,1,9,16,0,69,443
2020,1,9,16,15,37,318
2020,1,9,16,30,0,0
2020,1,9,16,45,0,0
2020,1,9,17,0,0,0
2020,1,9,17,15,0,0
2020,1,9,17,30,0,0
2020,1,9,17,45,0,0
2020,1,9,18,0,0,0
2020,1,9,18,15,0,0
2020,1,9,18,30,0,0
2020,1,9,18,45,0,0
2020,1,9,19,0,0,0
2020,1,9,19,15,0,0
2020,1,9,19,30,0,0
2020,1,9,19,45,0,0
2020,1,9,20,0,0,0
2020,1,9,20,15,0,0
2020,1,9,20,30,0,0
